Date,Price,Open,High,Low,Vol.,Change %
"Mar 30, 2021",1.2126,1.2027,1.2344,1.19,397.50M,0.82%
"Mar 29, 2021",1.2028,1.1897,1.2292,1.1789,401.46M,1.12%
"Mar 28, 2021",1.1895,1.1767,1.2191,1.1674,394.82M,1.08%
"Mar 27, 2021",1.1768,1.2145,1.237,1.1577,474.01M,-3.10%
"Mar 26, 2021",1.2145,1.0964,1.2856,1.0955,1.05B,10.76%
"Mar 25, 2021",1.0964,1.0677,1.1472,1.0485,699.56M,2.45%
"Mar 24, 2021",1.0702,1.1151,1.1635,1.0401,499.18M,-4.14%
"Mar 23, 2021",1.1163,1.103,1.1728,1.082,562.87M,1.17%
"Mar 22, 2021",1.1035,1.1862,1.2076,1.08,611.13M,-7.02%
"Mar 21, 2021",1.1868,1.2005,1.2411,1.1608,514.59M,-1.13%
"Mar 20, 2021",1.2004,1.2958,1.3081,1.2003,658.17M,-7.37%
"Mar 19, 2021",1.2959,1.2313,1.3419,1.1835,1.26B,5.26%
"Mar 18, 2021",1.2312,1.3776,1.4719,1.2247,2.04B,-10.61%
"Mar 17, 2021",1.3774,1.2493,1.4283,1.2045,1.64B,10.26%
"Mar 16, 2021",1.2493,1.0306,1.2632,1.0018,1.77B,21.18%
"Mar 15, 2021",1.031,1.0552,1.0703,1.0011,657.33M,-2.29%
"Mar 14, 2021",1.0551,1.1013,1.1019,1.0551,553.68M,-4.19%
"Mar 13, 2021",1.1013,1.0321,1.188,0.9881,977.08M,6.71%
"Mar 12, 2021",1.0321,1.1243,1.127,1.0298,642.18M,-8.19%
"Mar 11, 2021",1.1242,1.1334,1.139,1.1089,477.61M,-0.79%
"Mar 10, 2021",1.1331,1.1971,1.2069,1.118,626.55M,-5.35%
"Mar 09, 2021",1.1972,1.1185,1.2184,1.1126,898.49M,7.04%
"Mar 08, 2021",1.1185,1.1314,1.178,1.1067,625.53M,-1.19%
"Mar 07, 2021",1.1319,1.1294,1.1444,1.107,445.10M,0.25%
"Mar 06, 2021",1.129,1.1583,1.1816,1.0867,757.08M,-2.52%
"Mar 05, 2021",1.1582,1.1125,1.1957,1.0379,1.31B,4.11%
"Mar 04, 2021",1.1125,1.2144,1.2299,1.0684,1.10B,-8.39%
"Mar 03, 2021",1.2143,1.2245,1.2655,1.209,707.02M,-0.84%
"Mar 02, 2021",1.2246,1.2962,1.299,1.1823,1.10B,-5.52%
"Mar 01, 2021",1.2962,1.3118,1.3441,1.2331,1.61B,-0.88%
"Feb 28, 2021",1.3077,1.3166,1.3585,1.1586,2.49B,-0.68%
"Feb 27, 2021",1.3166,1.2416,1.4841,1.2305,3.07B,6.04%
"Feb 26, 2021",1.2416,1.0751,1.295,0.993,2.73B,15.48%
"Feb 25, 2021",1.0752,1.0486,1.1733,1.0128,1.56B,2.58%
"Feb 24, 2021",1.0481,0.9638,1.0751,0.8996,1.67B,8.73%
"Feb 23, 2021",0.964,1.0973,1.1405,0.8115,2.65B,-12.12%
"Feb 22, 2021",1.0969,1.0998,1.1445,0.8389,2.03B,-0.27%
"Feb 21, 2021",1.0998,1.1156,1.1497,1.075,1.18B,-1.46%
"Feb 20, 2021",1.1161,0.926,1.1971,0.9142,279.64M,20.55%
"Feb 19, 2021",0.9259,0.9137,0.9454,0.8808,839.10M,1.33%
"Feb 18, 2021",0.9138,0.8917,0.9566,0.8917,904.68M,2.47%
"Feb 17, 2021",0.8917,0.8704,0.8971,0.8239,750.02M,2.45%
"Feb 16, 2021",0.8704,0.8599,0.9051,0.8348,929.87M,1.19%
"Feb 15, 2021",0.8602,0.8444,0.9104,0.6891,1.44B,1.87%
"Feb 14, 2021",0.8444,0.9124,0.9187,0.8082,874.61M,-7.32%
"Feb 13, 2021",0.9111,0.9248,0.95,0.8251,993.01M,-1.48%
"Feb 12, 2021",0.9249,0.9293,0.9474,0.868,1.08B,-0.48%
"Feb 11, 2021",0.9293,0.9404,0.9791,0.8668,1.77B,-1.18%
"Feb 10, 2021",0.9404,0.7058,0.9496,0.7058,2.50B,33.23%
"Feb 09, 2021",0.7058,0.6778,0.7119,0.666,1.12B,4.20%
"Feb 08, 2021",0.6774,0.6626,0.7227,0.6339,2.06B,2.24%
"Feb 07, 2021",0.6626,0.6339,0.7067,0.5858,2.60B,4.53%
"Feb 06, 2021",0.6339,0.5387,0.6658,0.5209,2.08B,17.52%
"Feb 05, 2021",0.5393,0.4395,0.5594,0.4366,2.00B,22.71%
"Feb 04, 2021",0.4395,0.4419,0.4496,0.4109,736.38M,-0.53%
"Feb 03, 2021",0.4419,0.4258,0.4484,0.4154,1.10B,3.78%
"Feb 02, 2021",0.4258,0.4084,0.4552,0.3891,2.25B,4.27%
"Feb 01, 2021",0.4083,0.3451,0.423,0.3334,1.32B,18.35%
"Jan 31, 2021",0.345,0.3636,0.3766,0.3382,662.74M,-5.12%
"Jan 30, 2021",0.3636,0.3474,0.3755,0.3373,871.81M,4.61%
"Jan 29, 2021",0.3476,0.3438,0.3679,0.331,1.07B,1.12%
"Jan 28, 2021",0.3437,0.3119,0.3552,0.3046,833.04M,10.19%
"Jan 27, 2021",0.312,0.3435,0.3438,0.3047,761.35M,-9.19%
"Jan 26, 2021",0.3435,0.3431,0.3506,0.3247,627.44M,0.13%
"Jan 25, 2021",0.3431,0.3531,0.3639,0.3407,752.02M,-2.85%
"Jan 24, 2021",0.3532,0.3457,0.3688,0.3374,802.72M,2.20%
"Jan 23, 2021",0.3456,0.3491,0.3575,0.3361,897.55M,-1.23%
"Jan 22, 2021",0.3499,0.3078,0.3596,0.281,1.53B,13.69%
"Jan 21, 2021",0.3077,0.3755,0.3786,0.3,1.29B,-18.05%
"Jan 20, 2021",0.3755,0.3678,0.3765,0.3311,1.11B,2.10%
"Jan 19, 2021",0.3678,0.371,0.3847,0.3628,984.20M,-0.87%
"Jan 18, 2021",0.371,0.3813,0.3967,0.3648,1.24B,-2.70%
"Jan 17, 2021",0.3813,0.3505,0.3971,0.3416,2.25B,8.56%
"Jan 16, 2021",0.3512,0.3025,0.3667,0.3023,1.95B,16.10%
"Jan 15, 2021",0.3025,0.3126,0.331,0.2788,1.36B,-2.74%
"Jan 14, 2021",0.311,0.3127,0.3241,0.2986,-,-0.55%
"Jan 13, 2021",0.3127,0.2887,0.3154,0.2713,1.17B,8.74%
"Jan 12, 2021",0.2876,0.2759,0.3139,0.2641,1.87B,4.24%
"Jan 11, 2021",0.2759,0.3017,0.3035,0.2303,2.02B,-8.74%
"Jan 10, 2021",0.3023,0.3302,0.3405,0.2801,1.43B,-8.43%
"Jan 09, 2021",0.3302,0.3039,0.3382,0.2962,1.34B,8.62%
"Jan 08, 2021",0.304,0.298,0.3213,0.2647,2.23B,1.98%
"Jan 07, 2021",0.298,0.3328,0.3535,0.28,2.42B,-10.44%
"Jan 06, 2021",0.3328,0.2589,0.347,0.2541,3.05B,28.66%
"Jan 05, 2021",0.2586,0.2258,0.2639,0.2072,2.21B,14.52%
"Jan 04, 2021",0.2258,0.2057,0.2396,0.1927,2.23B,9.82%
"Jan 03, 2021",0.2057,0.1773,0.2096,0.1729,1.39B,15.97%
"Jan 02, 2021",0.1773,0.1751,0.1845,0.1686,980.36M,1.31%
"Jan 01, 2021",0.175,0.1814,0.1846,0.1702,770.70M,-3.49%
"Dec 31, 2020",0.1814,0.184,0.1862,0.1758,731.46M,-1.44%
"Dec 30, 2020",0.184,0.191,0.1932,0.1753,1.18B,-3.64%
"Dec 29, 2020",0.191,0.1764,0.1966,0.1736,2.11B,8.26%
"Dec 28, 2020",0.1764,0.1546,0.1801,0.153,1.29B,14.09%
"Dec 27, 2020",0.1546,0.1583,0.1661,0.1496,1.18B,-2.33%
"Dec 26, 2020",0.1583,0.1575,0.1624,0.1492,913.69M,0.51%
"Dec 25, 2020",0.1575,0.153,0.1669,0.1503,983.16M,2.96%
"Dec 24, 2020",0.153,0.1365,0.1545,0.1318,1.09B,12.07%
"Dec 23, 2020",0.1365,0.1566,0.1578,0.1264,1.20B,-12.86%
"Dec 22, 2020",0.1567,0.1527,0.161,0.1491,777.26M,2.59%
"Dec 21, 2020",0.1527,0.162,0.1661,0.1479,700.21M,-5.74%
"Dec 20, 2020",0.162,0.1643,0.1689,0.1579,571.96M,-1.40%
"Dec 19, 2020",0.1643,0.165,0.1705,0.163,570.48M,-0.44%
"Dec 18, 2020",0.165,0.1634,0.1694,0.1587,705.00M,0.98%
"Dec 17, 2020",0.1634,0.1682,0.176,0.1608,1.11B,-2.84%
"Dec 16, 2020",0.1682,0.1538,0.1683,0.1492,756.99M,9.35%
"Dec 15, 2020",0.1538,0.1582,0.16,0.1529,439.64M,-2.84%
"Dec 14, 2020",0.1583,0.1541,0.1584,0.1496,363.18M,2.77%
"Dec 13, 2020",0.154,0.1443,0.1566,0.143,525.60M,6.79%
"Dec 12, 2020",0.1443,0.1392,0.1472,0.1391,411.01M,3.62%
"Dec 11, 2020",0.1392,0.1417,0.1428,0.1349,505.09M,-1.73%
"Dec 10, 2020",0.1417,0.148,0.1486,0.1396,489.74M,-4.26%
"Dec 09, 2020",0.148,0.1413,0.1501,0.13,853.86M,4.75%
"Dec 08, 2020",0.1413,0.154,0.1549,0.1383,687.63M,-8.30%
"Dec 07, 2020",0.154,0.1587,0.1589,0.1515,413.79M,-2.91%
"Dec 06, 2020",0.1587,0.1599,0.1626,0.1532,494.18M,-0.79%
"Dec 05, 2020",0.1599,0.1478,0.1618,0.1462,614.13M,8.19%
"Dec 04, 2020",0.1478,0.1641,0.1645,0.1464,750.34M,-9.92%
"Dec 03, 2020",0.1641,0.1587,0.1682,0.1557,705.56M,3.44%
"Dec 02, 2020",0.1587,0.1557,0.1597,0.1509,811.58M,2.00%
"Dec 01, 2020",0.1555,0.1721,0.1743,0.1438,1.66B,-9.61%
"Nov 30, 2020",0.1721,0.1665,0.1736,0.1601,1.46B,3.36%
"Nov 29, 2020",0.1665,0.1649,0.171,0.1574,1.43B,0.94%
"Nov 28, 2020",0.1649,0.1415,0.172,0.1391,1.77B,16.59%
"Nov 27, 2020",0.1415,0.1385,0.1452,0.1308,1.22B,2.14%
"Nov 26, 2020",0.1385,0.1552,0.1603,0.1207,2.26B,-10.78%
